Title,Name,Datetime,Location
Winter Sprites Near Puerto Rico,Frankie Lucena,Dec 21 7:26pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites &amp; Carrot,Daniele Cataldi,Dec 1 4:48pm,Lariano - Rome - Italy,ITA,ITA
Sprites Under A Waning Supermoon,Frankie Lucena,Nov 17 7:33am,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites,Gabriel Zaparolli,Nov 12 2:17pm,"Torres,Rio Grande do Sul,Brazil",BRA,BRA
Red Sprites Over Greece,Daniele Cataldi,Oct 22 5:29pm,"Lariano, Rome, Italy.",ITA,ITA
Gravity Waves And Sprite Over Hurricane M,Frankie Lucena,Oct 4 10:42pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprite ,Mario Frenette,Oct 3 12:36pm,"Cancun , Mexico",MEX,MEX
Sprite ,Mario Frenette,Oct 3 12:35pm,"Cancun , Mexico",MEX,MEX
Red Sprites Generated By Hurricane Mathew,Frankie Lucena,Oct 1 8:22pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Hurricane Mathew Sprites,Frankie Lucena,Oct 1 5:03pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites Between The Clouds,Frankie Lucena,Sep 20 10:19pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Huge Jellyfish Sprite And Halo Above The ,Frankie Lucena,Sep 18 5:46pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites,Jan Curtis,Sep 5 4:46am,"Cheyenne, WY",USA,USA
Sprites,Jan Curtis,Sep 3 4:38am,"Cheyenne, WY",USA,USA
Red Sprite Lightning: GIF,Frankie Lucena,Aug 31 2:32am,"Cabo Rojo,Puerto Rico",PRI,PRI
Angelic Red Sprite Over The Caribbean,Frankie Lucena,Aug 28 9:31am,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites,martin popek,Aug 18 3:32pm,"Nýdek, Czech republic",CZE,CZE
 Sprites Lightning,Ken Luo,Aug 17 3:27pm,"Jiahe, Hunan, China",CHN,CHN
Sprites,Gabriel Zaparolli,Aug 15 9:41pm,"Torres,Rio Grande do Sul,Brazil",BRA,BRA
Sprites Lightning,Phebe Pan,Aug 15 4:51am,"Yangshan, Qingyuan, Guangdong, ",CHN,CHN
Persied Meteors And Sprites!,Kevin Palivec,Aug 12 1:25pm,"Hawley, Texas",USA,USA
Meteors And Sprites,Mike,Aug 11 6:32pm,Missouri Valley Iowa,USA,USA
Sprites,Mike Daniels,Aug 10 3:21am,Hamilton Montana USA,USA,USA
Sprites,Jan Curtis,Aug 8 6:18pm,"Cheyenne, WY",USA,USA
Sprites,Jan Curtis,Aug 8 6:16pm,"Cheyenne, Wyoming",USA,USA
Sprites,Jan Curtis,Aug 8 6:14pm,"Cheyenne, WY",USA,USA
"Auroras, Sprites, Lightning",Jake Stehli,Jul 12 9:59am,"Hartford, Wisconsin, USA",USA,USA
"Red Sprite, South Bavaria Region Füssen ",Thorsten Boeckel,Jul 11 10:42pm,"Fürstenfeldbruck, Germany",DEU,DEU
Red Sprites,martin popek,Jul 11 2:53pm,"Nýdek, Czech republic",CZE,CZE
Sprites,Jan Curtis,Jul 7 6:12pm,"Cheyenne, WY",USA,USA
Sprite,Jan Curtis,Jul 7 6:00am,"Cheyenne, WY",USA,USA
Sprites,Jan Curtis,Jun 29 6:05am,"Cheyenne, WY",USA,USA
Red Sprites And Troll Jets,martin popek,Jun 28 2:31pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites Over The Region Dortmund,Thorsten Boeckel,Jun 26 10:06pm,Fürstenfeldbruck / Germerswang,DEU,DEU
Red Sprites,Karoly Jonas,Jun 26 7:22am,Budapest - Hungary,HUN,HUN
Red Sprites Over The Alps,Thorsten Boeckel,Jun 6 10:54pm,"Fürstenfeldbruck, Germany",DEU,DEU
Red Sprites,Thorsten Boeckel,May 31 11:38am,"Fürstenfeldbruck, Germany",DEU,DEU
Red Sprites And Flash Of Lightning,martin popek,May 30 7:56pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,martin popek,May 25 1:29pm,"Nýdek, Czech republic",CZE,CZE
"Mars, Saturn And Sprites Over Puerto Rico",Frankie Lucena,May 2 1:56am,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites And Gigantic Jet,Kevin palivec,Apr 28 11:57am,"Hawley,tx",USA,USA
Bright Sprite Over The Indian Ocean,Frankie Lucena,Apr 18 5:11pm,International Space Station,IND,IND
First ISS Photos Of Red Sprites In 2016,Frankie Lucena,Mar 18 5:57am,International Space Station,IND,IND
Sprites  - TLES And Our Global Electric C,Frankie Lucena,Feb 3 7:22pm,International Space Station,IND,IND
ISS Captures A Sprite Near Bermuda,Frankie Lucena,Jan 25 2:50am,Bermuda,BMU,BMU
Red Sprite Over Vietnam,Frankie Lucena,Jan 11 9:32pm,"Cabo Rojo,Puerto Rico",PRI,PRI
ISS Captures A Sprite On Video Over Texas,Frankie Lucena,Nov 28 7:01pm,"Cabo Rojo,Puerto Rico",PRI,PRI
ISS Captures Sprites Over Africa,Frankie Lucena,Nov 26 9:36pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites - Blue Starters - Blue Jets - Gig,Frankie Lucena,Oct 26 9:14pm,"Cabo Rojo,Puerto Rico",PRI,PRI
Red Sprites,Martin Popek,Sep 2 3:48pm,"Nýdek, Czech republic",CZE,CZE
Sprites,Aléxia Lage &amp; Alcione Caetano,Aug 31 1:44am,"Belo Horizonte, Brazil",BRA,BRA
Sprites,Aléxia Lage &amp; Alcione Caetano,Aug 31 1:32am,"Belo Horizonte, Minas Gerais, B",BRA,BRA
Red Sprites And Sprites Halos,Martin Popek,Aug 18 2:38pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites And Troposferic Lightnings,Martin Popek,Aug 16 6:53am,"Nýdek, Czech republic",CZE,CZE
ISS Captures A Red Sprite Over Mexico,Frankie Lucena,Aug 16 1:07am,"Cabo Rojo,Puerto Rico",PRI,PRI
ISS Captures A Sprite And Troll Jet,Frankie Lucena,Aug 15 1:18am,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites,Patrick Vantuyne,Aug 14 9:57am,Belgium,BEL,BEL
Red Sprites And Meteor,Martin Popek,Aug 13 2:31pm,"Nýdek, Czech republic",CZE,CZE
Sprites Above Hurricane Hilda,Steve Cullen,Aug 12 2:23am,"Waikoloa, HI",USA,USA
Red Sprite ,Thorsten Boeckel,Aug 11 9:01am,"Fuerstenfeldbruck, South Bavari",DEU,DEU
Red Sprite,H. Meier,Aug 10 12:03pm,"Sendelbach, Norther Bavaria, Ge",DEU,DEU
Red Sprites And Meteors,Martin Popek,Aug 5 6:19pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,Marko,Aug 3 9:56pm,"Sezana, Slovenia",SVN,SVN
Sprites,Jan Curtis,Jul 29 11:31pm,"Cheyenne, WY",USA,USA
Sprite Meteor,Kevin Palivec,Jul 28 11:50am,Hawley Texas,USA,USA
Red Sprites ,Martin Popek,Jul 23 3:51pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites Of MCS Thunderstorm Over Aust,Martin Popek,Jul 18 5:33pm,"Nýdek, Czech republic",CZE,CZE
The Fantastic Red Sprites Night,Petr Horálek,Jul 18 12:18pm,"Ustupky, Czech Republic",CZE,CZE
Sprite,Jan Curtis,Jul 10 4:25pm,"Near Santa Fe, NM",USA,USA
Red Sprites (TLE),Lukáš Ronge,Jul 9 3:52pm,"Near Trutnov, Czech Republic",CZE,CZE
Red Sprite,Kevin Palivec,Jul 9 12:06pm,Hawley Texas,USA,USA
Red Sprites And Meteors,Martin Popek,Jul 8 3:50pm,"Nýdek, Czech republic",CZE,CZE
Red Sprites,Martin Popek,Jul 6 1:40pm,"Nýdek, Czech republic",CZE,CZE
The Red Sprites Over The Seč Reservoir,Petr Horálek,Jul 6 2:39am,"Ustupky, Czech Republic",CZE,CZE
Sprites,Chris Kranich,Jul 3 2:32am,"Kiel, Schleswig-Holstein, Germa",DEU,DEU
Possible Sprites? ,Nathaniel ,Jun 30 11:09pm,"West Yellowstone, MT, USA",USA,USA
Sprites And Milky Way,Josh Thum,Jun 15 3:10am,"Sayner, Wisconsin",USA,USA
Sprite Over Lubbock Texas,Jan Curtis,Jun 14 1:47pm,"11 Miles south of Santa Fe, NM",USA,USA
Sprites,Jan Curtis,Jun 12 5:57pm,"11 south of Santa Fe, NM",USA,USA
Red Sprites,Sandro Puncet,Jun 10 8:29am,"Croatia, M.Lošinj",HRV,HRV
Red Sprites From ESO,Petr Horálek,May 26 8:49pm,"La Silla and Paranal, Chile",CHL,CHL
Red Sprites,Martin Popek,May 15 2:34pm,"Nydek, Czech republic",CZE,CZE
Sprite,Jan Curtis,May 15 6:26am,"11 Miles S of Santa Fe, NM",USA
 Gigantic Jet Lightning:  More Powerful T,Frankie Lucena,Feb 25 3:19am,"Cabo Rojo,Puerto Rico",PRI,PRI
Thunderstorm With Lightning Venus And Spr,Dr Peter Lowenstein,Feb 12 9:35pm,On verandah of my house on top ,CAN,CAN
Sprite,Daniele Cataldi,Jan 29 10:32pm,Sprite registered with low lux ,LUX,LUX
Red Sprite Above Cold Front System,Boris Basic,Nov 21 4:35am,Dubrovnik,HRV,HRV
Red Sprites,Marko Korosec,Sep 25 1:13pm,"Vivaro, Italy",ITA,ITA
Storm And Sprite,Patrick Lécureuil,Sep 25 5:56am,"Observatory of Pic du Midi, in ",FRA,FRA
Sprites,Jan Curtis,Sep 6 8:33pm,"11 miles due south of Santa Fe,",ARG,ARG
"Sprite, Elf And Blue Jet. ¡¡¡¡¡",Salvador Aguirre ,Sep 4 2:07am,"Hermosillo, Sonora, Mexico",MEX,MEX
"Sprites, Gravity Waves, Airglow, Aurora",Randy Halverson,Sep 3 11:04pm,"Kennebec, SD",USA,USA
"Sprite, Air Glow Gravity Waves, Stars, St",Tom A. Warner,Aug 30 10:39am,"New Underwood, South Dakota",USA,USA
Meteors + Sprites.,Salvador Aguirre ,Aug 16 1:20pm,"Hermosillo, Sonora, Mexico",MEX,MEX
Sprites Over Lightining On The Ocean,Seth,Aug 4 3:10am,"Outer Banks, NC",USA,USA
Red Sprites,Martin Popek,Jul 31 1:12pm,"Nýdek, Czech republic",CZE,CZE
Sprites !!,Dr.. Salvador Aguirre,Jul 20 1:48pm,"Hermosillo, Sonora, Mexico",MEX,MEX
Sprite,Harald Edens,Jul 19 7:40am,Langmuir Laboratory for Atmosph,USA,USA
Red Sprites In The Light Of The Full Moon,Martin Popek,Jul 13 9:55am,"Watec 910hx + Computar 10,5-3,5"
Sprite &amp; Mesosphere Gravity Wave Clouds,Jan Curtis,Jun 28 4:50pm,"Eldorado @ Santa Fe, NM",USA,USA
Sprites,Jan Curtis,Jun 25 2:15pm,"Eldorado @ Santa Fe, NM",USA,USA
Red Sprites,Martin Popek,Jun 24 1:35pm,"Nýdek, Czech republic",CZE,CZE
Something More Powerful Than A Sprite,Frankie Lucena,Dec 24 2:52am,"Cabo Rojo,Puerto Rico",PRI,PRI
Sprites,Mike Bradbury,Dec 18 10:03pm,"Chandler, Arizona USA",USA,USA
Sprite,Domenico Belfiore,Nov 17 5:49pm,"Italy, Casamassima",ITA,ITA
Red Sprites -  With Meteor,Monika Landy-Gyebnar,Oct 13 12:00am,"Veszprem, Hungary",HUN,HUN
