Title,Name,Date,Time,Location,Lat,Long,Report
Sprite Meteor,Kevin Palivec,2015-07-28,11:50am,Hawley Texas,32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=115651
Red Sprite,Kevin Palivec,2015-07-09,12:06pm,Hawley Texas,32.6133723,-99.8130377,https://spaceweathergallery.com/indiv_upload.php?upload_id=114978
Possible Sprites?,Nathaniel,2015-06-30,11:09pm,"West Yellowstone, MT, USA",44.6632505,-111.101169,https://spaceweathergallery.com/indiv_upload.php?upload_id=114496
Sprites And Milky Way,Josh Thum,2014-06-15,3:10am,"Sayner, Wisconsin",45.9860625,-89.5326435,https://spaceweathergallery.com/indiv_upload.php?upload_id=113546
Gigantic Jet Lightning: More Powerful T,Frankie Lucena,2010-02-25,3:19am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=109231
"Sprites, Gravity Waves, Airglow, Aurora",Randy Halverson,2014-09-03,11:04pm,"Kennebec, SD",43.903602,-99.861783,https://spaceweathergallery.com/indiv_upload.php?upload_id=101411
"Sprite, Air Glow Gravity Waves, Stars, St",Tom A. Warner,2014-08-30,10:39am,"New Underwood, South Dakota",44.09332,-102.836282,https://spaceweathergallery.com/indiv_upload.php?upload_id=101211
Sprites Over Lightining On The Ocean,Seth,2014-08-04,3:10am,"Outer Banks, NC",35.5668598,-75.468527,https://spaceweathergallery.com/indiv_upload.php?upload_id=100049
Sprite & Mesosphere Gravity Wave Clouds,Jan Curtis,2014-06-28,4:50pm,"Eldorado @ Santa Fe, NM",35.521201500000004,-105.93490747033819,https://spaceweathergallery.com/indiv_upload.php?upload_id=98797
Sprites,Jan Curtis,2014-06-25,2:15pm,"Eldorado @ Santa Fe, NM",35.521201500000004,-105.93490747033819,https://spaceweathergallery.com/indiv_upload.php?upload_id=98724
Something More Powerful Than A Sprite,Frankie Lucena,2010-12-24,2:52am,"Cabo Rojo,Puerto Rico",18.0870192,-67.1459114,https://spaceweathergallery.com/indiv_upload.php?upload_id=91792
Sprites,Mike Bradbury,2013-12-18,10:03pm,"Chandler, Arizona USA",33.3061605,-111.84125,https://spaceweathergallery.com/indiv_upload.php?upload_id=91616
Comet Leonard And A Sprite - Gemini Obser,Frankie Lucena,2021-12-23,3:31am,"Mauna Kea Access Rd, Hilo, HI 96720",19.824758000000003,-155.47335552670813,https://spaceweathergallery.com/indiv_upload.php?upload_id=180799
Winter Sprites Near Hawaii,Frankie Lucena,2018-02-08,10:08pm,"Mauna Kea Access Rd, Hilo, HI 96720",19.824758000000003,-155.47335552670813,https://spaceweathergallery.com/indiv_upload.php?upload_id=142519
Sprite,Jan Curtis,2015-07-10,4:25pm,"Near Santa Fe, NM",35.50493202800141,-105.93677128085453,https://spaceweathergallery.com/indiv_upload.php?upload_id=115004
Sprite Over Lubbock Texas,Jan Curtis,2015-06-14,1:47pm,"11 Miles south of Santa Fe, NM",35.50493202800141,-105.93677128085453,https://spaceweathergallery.com/indiv_upload.php?upload_id=113528
Sprites,Jan Curtis,2015-06-12,5:57pm,"11 south of Santa Fe, NM",35.50493202800141,-105.93677128085453,https://spaceweathergallery.com/indiv_upload.php?upload_id=113484
Sprite,Jan Curtis,2015-05-15,6:26am,"11 Miles S of Santa Fe, NM",35.50493202800141,-105.93677128085453,https://spaceweathergallery.com/indiv_upload.php?upload_id=112737
Sprites,Jan Curtis,2014-09-06,8:33pm,"11 miles due south of Santa Fe, NM",35.50493202800141,-105.93677128085453,https://spaceweathergallery.com/indiv_upload.php?upload_id=101474
Sprite,Harald Edens,2014-07-19,7:40am,"801 Leroy Pl, Socorro, NM 87801",34.06623395,-106.91105954582537,https://spaceweathergallery.com/indiv_upload.php?upload_id=99619
